,Date,Count,Offense
755,2020-02-20,6,Fraud
756,2020-02-21,9,Vandalism
757,2020-02-21,11,Fraud
758,2020-02-21,8,Drugs
759,2020-02-21,14,Assault
760,2020-02-22,8,Assault
761,2020-02-22,8,Vandalism
762,2020-02-22,4,Drugs
763,2020-02-22,5,Fraud
764,2020-02-23,12,Vandalism
765,2020-02-23,15,Assault
766,2020-02-23,5,Drugs
767,2020-02-23,4,Fraud
768,2020-02-24,18,Assault
769,2020-02-24,6,Drugs
770,2020-02-24,13,Vandalism
771,2020-02-24,6,Fraud
772,2020-02-25,10,Fraud
773,2020-02-25,10,Vandalism
774,2020-02-25,18,Assault
775,2020-02-25,16,Drugs
776,2020-02-26,12,Assault
777,2020-02-26,7,Fraud
778,2020-02-26,7,Vandalism
779,2020-02-26,8,Drugs
780,2020-02-27,7,Drugs
781,2020-02-27,13,Assault
782,2020-02-27,6,Vandalism
783,2020-02-27,3,Fraud
784,2020-02-28,12,Assault
785,2020-02-28,7,Vandalism
786,2020-02-28,8,Fraud
787,2020-02-28,8,Drugs
788,2020-02-29,5,Drugs
789,2020-02-29,14,Assault
790,2020-02-29,7,Fraud
791,2020-02-29,15,Vandalism
792,2020-03-01,11,Vandalism
793,2020-03-01,17,Fraud
794,2020-03-01,15,Assault
795,2020-03-01,2,Drugs
796,2020-03-02,17,Fraud
797,2020-03-02,9,Assault
798,2020-03-02,6,Vandalism
799,2020-03-02,13,Drugs
800,2020-03-03,19,Assault
801,2020-03-03,5,Drugs
802,2020-03-03,7,Vandalism
803,2020-03-03,5,Fraud
804,2020-03-04,12,Drugs
805,2020-03-04,12,Assault
806,2020-03-04,5,Fraud
807,2020-03-04,8,Vandalism
808,2020-03-05,8,Drugs
809,2020-03-05,11,Assault
810,2020-03-05,5,Fraud
811,2020-03-05,8,Vandalism
812,2020-03-06,6,Drugs
813,2020-03-06,17,Assault
814,2020-03-06,8,Fraud
815,2020-03-06,15,Vandalism
816,2020-03-07,21,Assault
817,2020-03-07,3,Drugs
818,2020-03-07,19,Vandalism
819,2020-03-07,7,Fraud
820,2020-03-08,7,Fraud
821,2020-03-08,11,Assault
822,2020-03-08,8,Vandalism
823,2020-03-08,4,Drugs
824,2020-03-09,9,Vandalism
825,2020-03-09,13,Assault
826,2020-03-09,7,Fraud
827,2020-03-09,4,Drugs
828,2020-03-10,13,Drugs
829,2020-03-10,5,Vandalism
830,2020-03-10,6,Fraud
831,2020-03-10,16,Assault
832,2020-03-11,8,Drugs
833,2020-03-11,10,Assault
834,2020-03-11,7,Fraud
835,2020-03-11,6,Vandalism
836,2020-03-12,6,Vandalism
837,2020-03-12,6,Fraud
838,2020-03-12,12,Assault
839,2020-03-12,2,Drugs
840,2020-03-13,7,Vandalism
841,2020-03-13,4,Fraud
842,2020-03-13,10,Assault
843,2020-03-13,7,Drugs
844,2020-03-14,19,Assault
845,2020-03-14,10,Vandalism
846,2020-03-14,3,Drugs
847,2020-03-14,5,Fraud
848,2020-03-15,4,Fraud
849,2020-03-15,14,Vandalism
850,2020-03-15,3,Drugs
851,2020-03-15,12,Assault
852,2020-03-16,6,Vandalism
853,2020-03-16,3,Assault
854,2020-03-16,3,Fraud
855,2020-03-17,11,Vandalism
856,2020-03-17,6,Assault
857,2020-03-17,1,Drugs
858,2020-03-17,1,Fraud
859,2020-03-18,1,Drugs
860,2020-03-18,8,Assault
861,2020-03-18,6,Fraud
862,2020-03-18,9,Vandalism
863,2020-03-19,1,Fraud
864,2020-03-19,8,Assault
865,2020-03-19,1,Drugs
866,2020-03-19,6,Vandalism
867,2020-03-20,3,Fraud
868,2020-03-20,1,Drugs
869,2020-03-20,11,Vandalism
870,2020-03-20,8,Assault
871,2020-03-21,5,Fraud
872,2020-03-21,2,Drugs
